Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery			
86,France,"This delicious, refreshing wine is textured, tight and mineral, with fruity acidity. Tangy and crisp, it has a tight structure, touches of toast along with apple and citrus flavors. The wine is still young and very tight, so should not be drunk before 2017.",Montmains Premier Cru,91,45.0,Burgundy,Chablis,,Chardonnay,Domaine Gérard Duplessis			
91,Portugal,"The local Baga grape, better known for producing structured red wines, also lends itself to fruity sparkling rosé. Bright acidity gives this crisp wine its tangy, red currant character. Drink now.",Marquês de Marialva Rosé Bruto,86,12.0,Beira Atlantico,,,Baga,Adega de Cantanhede			
92,Italy,"Aromas of white spring flower, orchard fruit and citrus spill out of the glass. The fun lively palate delivers ripe yellow peach and green apple alongside a foaming mousse.",Nature,86,22.0,Veneto,Prosecco,,Glera,De Stefani			
94,Portugal,"This family-owned estate has produced an immediately attractive entry-level wine. Lightly spiced with wood, it blends Touriga Franca, Tinta Roriz and Tinta Barroca to show black fruit, ripe tannins and bright acidity. Drink now.",Muros de Vinha,86,10.0,Douro,,,Portuguese Red,Quinta do Portal			
95,France,"This is a smooth, soft wine that is full of black fruits and ripe tannins. The Merlot rounds out the rougher edges of the Malbec to give a rich juicy wine that will develop quickly. It is all fruit, generous and ready to drink from 2017.",Château Beauvillain-Monpezat,86,14.0,Southwest France,Cahors,,Malbec-Merlot,Rigal			
98,France,"Closer to Bordeaux than is Cahors, this is Malbec with a cooler visage. It has spice and stalky tannins along with plenty of acidity. The wine is bright with red berry fruits and a crisp lightly mineral aftertaste. Drink from 2018.",Pigmentum,86,15.0,Southwest France,Buzet,,Merlot-Malbec,Georges Vigouroux			
99,France,"This is a blend of 60% Ugni Blanc and 40% Colombard that gives a deliciously light and refreshing wine. Bright and breezy, it is perfumed, herbal and full of direct citrus flavors. Drink now.",Pigmentum,86,10.0,Southwest France,Côtes de Gascogne,,Ugni Blanc-Colombard,Georges Vigouroux			
102,Italy,"The nose is a bit shy but eventually reveals underbrush, red berry and a toasted note. The straightforward palate is quite lean, offering raw sour cherry, a green note of powdered sage and a hint of ground pepper alongside raspy tannins that leave an astringent finish.",,86,45.0,Tuscany,Brunello di Montalcino,,Sangiovese,Il Grappolo			
110,Portugal,"This state-owned estate of forests and vineyards grows organic grapes. This wine, softly structured and ripe has light black fruits and plenty of acidity. An undercurrent of tannin keeps the wine in order and will allow it to age. Drink from 2018.",Companhia das Lezírias Herdade de Catapereiro Single Vineyard,86,12.0,Tejo,,,Portuguese Red,Wines & Winemakers			
116,Spain,"Aromas of brandied cherry and crème de cassis include a horsey sidenote and some heat. This sweet Monastrell smacks the palate with hard tannins. Flavors of black cherry, cassis and baked plum finish blocky.",Dulce Tinto,86,,Levante,Jumilla,,Monastrell,Casa de la Ermita			
117,France,"This pale pink-grey colored wine is a blend of Duras and Merlot. It is lively and fruity, with a red-currant flavor, delicious crisp acidity and a soft, lively aftertaste. Drink now.",,86,20.0,Southwest France,Gaillac,,Rosé,Château Clément Termes			
118,France,This softly fruity wine has the lightest of tannins and plenty of simple red-berry fruits. There is an earthy edge to the young wine as well as plenty of acidity at the end. Drink now.,Il est des nôôôtres!,86,15.0,Southwest France,,,Gamay,Château Coutinel			
119,Portugal,"This broad, fruity wine brings out ripe berry flavors in spades. It has generous fruit, soft tannins and a smooth, open texture. Drink now.",Convento da Vila,86,7.0,Alentejano,,,Portuguese Red,Adega Cooperativa de Borba			
128,Spain,"Aromas of strawberry, currant and spice are good in a subtle, non-pushy way. Fresh and grabby on the palate, this tastes of red fruits, baking spices and cocoa. Drying tannins along with cassis and chocolate flavors push a healthy finish. Drink through 2020.",Arnegui Reserva,90,22.0,Northern Spain,Rioja,,Tempranillo,Pagos del Rey			
129,Italy,"Scents of Spanish broom, pineapple, orchard fruit and a saline note meld together in the glass. The focused palate offers mature apple, peach, botanical herb and mineral alongside firm acidity.",Chianta Bianco,90,45.0,Sicily & Sardinia,Etna,,White Blend,Biondi			
130,Italy,"Juicy and delicious, this has aromas of ripe orchard fruit and fragrant Spanish broom. The succulent palate doles out crisp Granny Smith apple, Anjou pear, nectarine and mineral alongside bright acidity.",,90,18.0,Southern Italy,Greco di Tufo,,Greco,Cantine di Marzo			
138,Spain,"Cherry, plum, vanilla and mild oak aromas feed into a medium-bodied, elegant palate with plum and cherry flavors supported by a touch of toasty oak and vanilla. Notes of café mocha and toast grace a crisp finish that isn't trying too hard.",Crianza,90,17.0,Northern Spain,Rioja,,Tempranillo,Valdelacierva			
139,France,"Attractive fruity tones of red currant, raspberry and strawberry hull dance in the bouquet of this pretty rosé, graced by garrigue accents of lavender and rosemary. Flavors of red berry skin and peach pit unfold on the medium-weight palate, framed by soft tannins and a delicate spice note that lingers on the close.",Le,90,18.0,Languedoc-Roussillon,Coteaux du Languedoc Pic Saint Loup,,Rosé,Château de Lancyre			
140,France,"Lightly structured, this is a balanced, ripe wine. It has profited from the good vintage to offer strawberry, raspberry and citrus flavors that are well balanced and textured. Drink this attractive wine now.",,90,15.0,Bordeaux,Bordeaux Rosé,,Rosé,Château Suau			
147,Spain,"Aromas of white flowers, stone fruits and lees are typical of well-made Albariño. A juicy, elegant palate with a mix of citrus and stone-fruit flavors is lasting, with a hint of pithy character coming up on the finish.",,90,17.0,Galicia,Rías Baixas,,Albariño,Mar de Viñas			
152,Spain,"Dusty, leesy aromas of apple and vanilla are sturdy. This brut Cava is fresh and modestly elegant on the palate, with lime, apple and tarragon flavors. A dry, confident finish offers apple and citrus flavors and a sense of ease.",Brut Reserva,89,17.0,Catalonia,Cava,,Sparkling Blend,Bohigas			
156,France,"This well-balanced, fruity wine allows space for some solid dry tannins that also show wood aging. Berry fruits shine through the structure to give a juicy character that is underlined by the fresh acidity at the end.",,89,20.0,Southwest France,Cahors,,Bordeaux-style Red Blend,Chateau Quattre			
158,Spain,"Aromas of leather, roast plum and compost are challenging and not immediately inviting. In the mouth, this shows rubbery tannins and juicy acidity. Saucy, herbal plum and currant flavors ride on a beam of acidity toward an earthy, tomatoey finish with a lightly leafy aftertaste.",Viña Real Gran Reserva,89,44.0,Northern Spain,Rioja,,Tempranillo,CVNE			
162,Spain,"Dense, tarry aromas of asphalt and rubbery boysenberry are hefty but also a bit flat. This has a tannic mouthfeel to go with blackberry, prune and raisin flavors. Toast, bitter chocolate and full-bodied weight push the finish on this oaky, ripe Rioja. Drink through 2020.",Gaudium,89,44.0,Northern Spain,Rioja,,Tempranillo Blend,Marqués de Cáceres			
166,Italy,"Crushed plum, espresso, tobacco and cedar aromas unfold in the glass. A blend of 90% Merlot and 10% Alicante, the straightforward palate offers blackberries, red currants, clove and licorice alongside fine-grained tannins.",Le Redini,89,25.0,Tuscany,Toscana,,Red Blend,Tenuta degli Dei			
167,Italy,"Aromas of wild berries, violets and a whiff of spice lead the nose on this blend of Sangiovese and 15% Merlot. The savory, easygoing palate offers mature black cherry, clove and black pepper alongside lithe tannins. Drink through 2016.",Il Guardiano,89,22.0,Tuscany,Toscana,,Red Blend,Poggio Mandorlo			
168,Portugal,"Structured and firm, this is a dry wine with the potential of fine fruit in the future. Acidity cuts through the texture promising the freshness of black currants and berries. It's a perfumed wine that can still age. Drink from 2016.",,89,20.0,Douro,,,Touriga Nacional,Quinta das Carvalhas			
174,France,"This is aged in oak, but the vessels are large casks, or foudres, so the impact isn't that noticeable. The wine is meaty and savory on the nose, but the palate shows more herb-garrigue flavors and superripe cherry fruit. Drink now–2017.",Héritages Elevé en Foudres de Chêne,89,16.0,Rhône Valley,Côtes du Rhône,,Rhône-style Red Blend,Ogier			
175,Spain,"Pleasant red-fruit aromas of cherry and raspberry are low in octane for Toro. A fresh but not overly dense palate is lively and vital, with wild berry, plum and brown sugar flavors. A warm, heady, generous finish is fruity and bright. Drink through 2018.",Gran Bajoz,89,30.0,Northern Spain,Toro,,Tinta de Toro,Pagos del Rey			
176,Italy,"Here's a sleek Sangiovese that opens with scents of toasted oak, vanilla, blue flowers and mature plum. The round palate is already accessible, serving up sweet black cherry, black raspberry, licorice and mint framed in assertive but fine-grained tannins.",Palazzo Altesi,89,40.0,Tuscany,Toscana,,Sangiovese,Altesino			
177,Italy,"A robust blend of 70% Sangiovese and 30% Cabernet Sauvignon, this offers aromas of baked plum, mocha, menthol and oak-driven spice. The hearty palate initially opens with black fruit, chocolate, licorice and dried herb flavors but the heat of evident alcohol dominates the finish and the close.",Il Borgo,89,57.0,Tuscany,Toscana,,Red Blend,Cabreo			
188,Spain,"Apple, nectarine, lees and briny aromas steer this Godello toward a round, full palate. Slightly bitter flavors of melon and peach finish much like the wine starts—briny and leesy. This is also pithy tasting, like the inside of a grapefruit peel.",Sobre Lías,88,25.0,Northern Spain,Valdeorras,,Godello,Valdesil			
189,Spain,"Coffee grinds, raisin and baked aromas suggest overripeness. This is heavy, broad and a bit clumsy on the palate. Berry and prune flavors are solid but not overly fresh, while the finish is full and raisiny as it improves over time.",Negre,87,22.0,Catalonia,Montsant,,Red Blend,Jaspi			
191,France,Bright fruit is allied to a more mineral structure to give a wine that shows the freshness of the vintage plus a more long-term view. It is cool with red fruits and some firm tannins that act as a background. Drink from 2017.,,87,20.0,Bordeaux,Graves,,Bordeaux-style Red Blend,Château Beauregard Lagupeau			
192,France,"Owned by the Cruse family, one of the Bordeaux wine aristocracy, this rich wine is dominated by Merlot, giving it ample weight. The 18 months of wood aging shows in the smoky edge to the wine, although this will soften. Drink from 2017.",,87,25.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château du Taillan			
193,France,"The smoky aroma and toasty wood character smothers the fruit. It is a tough wine at this stage although it does hint at some of the 2012 juicy fruit flavors. Drink this firm, solid wine from 2018.",,87,20.0,Bordeaux,Saint-Estèphe,,Bordeaux-style Red Blend,Château la Haye			
194,France,"Intensely tannic, this structured wine has layers of wood aging, along with juicy fruits and bright acidity. There's a strongly smoky element, the wine's fruitiness balanced by a dark, toasty aftertaste. Drink from 2018.",,87,20.0,Bordeaux,Fronsac,,Bordeaux-style Red Blend,Château Lalande Mausse			
195,France,"This is a smoky, obviously wood-aged wine. The burnt toast character is still dominant, waiting for the attractive black currant fruits to catch up. It will develop into a bright, fruity wine, so wait until 2017.",,87,25.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Magnol			
202,France,"This ripe, now soft wine has gentle red fruits and soft acidity. It's ready to drink with its rich texture and smooth structure. The end is rounded, only just hinting at tannins.",,87,18.0,Bordeaux,Médoc,,Bordeaux-style Red Blend,Château Roc Taillade			
203,France,"Owned by the same family as Château Talbot in Saint-Julien, this vintage of Sénéjac is now mature, showing signs of leather and a firm structure rather than fruit. It's unlikely to develop further, so drink now.",,87,20.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Sénéjac			
209,Spain,"A mix of smoke and toast blends with fresh, crisp citrus aromas on the nose. That's followed by a foamy, reactive palate with flavors of pink grapefruit, orange, pepper and caramel. This remains foamy on the finish, which is peppery and slightly bitter in flavor.",Yá Cuvée 23 Brut Rosé,87,18.0,Catalonia,Cava,,Sparkling Blend,Sumarroca			
210,Portugal,"A big, ripe and spicy wine, this is packed with woody notes as well as powerful fruit. It has solid tannins and dark flavors of bitter chocolate and black cherries. It's rich and concentrated, with good aging potential. Drink from 2018.",Reserva,93,55.0,Douro,,,Portuguese Red,Poças			
211,Italy,"Blue flower, ripe berry, baking spice and mint aromas lead the nose on this full-bodied, elegant wine. The palate delivers juicy black cherry, crushed raspberry, cinnamon, licorice and mineral alongside firm, ripe tannins. It's young but already displays a great combination of structure and finesse.",Nervo,93,49.0,Piedmont,Barbaresco,,Nebbiolo,Rizzi			
213,Italy,"Crushed raspberry, blue flower, tilled soil and graphite aromas lead the nose on this firmly structured wine. It's still very young and needs to open up fully, but the palate already displays breeding and class. It offers ripe black cherry, ground black pepper, licorice and grilled sage alongside tightly wound but fine tannins. Drink 2018–2026.",Fausoni,93,58.0,Piedmont,Barbaresco,,Nebbiolo,Sottimano			
214,France,"The chalk soil of the Rosacker vineyard has produced a rich, intensely fruity wine that is shot through with steely minerality and a wonderful perfumed character. It's so crisp and fresh while also being densely textured and complex. The wine has a long future, drink from 2017.",Rosacker Grand Cru,93,39.0,Alsace,Alsace,,Riesling,Domaine Jean-Luc Mader			
215,France,"Beautifully balanced, this conveys both rich fruit and a tense, intense minerality. Combining the two strands impeccably, it brings out tangy apple and pink grapefruit flavors and a steely, tight acidity. It's a structured wine that needs to age. Drink from 2018.",Clos Häuserer Wintzenheim,93,65.0,Alsace,Alsace,,Riesling,Domaine Zind-Humbrecht			
217,Italy,"Intense aromas of dried rose, leather, truffle and crushed berry lead the nose. The ripe, forward palate offers crushed black cherry, wild raspberry, cinnamon white pepper and sage alongside chewy tannins. Drink 2015–2022.",,93,80.0,Piedmont,Barolo,,Nebbiolo,Borgogno			
218,France,"Paradis is a parcel within the Pfingstberg Grand Cru, giving particularly fine and rich Riesling. This ripe and full-bodied wine manages to preserve all the elegance and style of the grape while having full tropical fruits, juicy acidity and a warm, rounded aftertaste. It will certainly age, so drink from 2017.",Pfingstberg Paradis Grand Cru,93,42.0,Alsace,Alsace,,Riesling,Domaine François Schmitt			
219,France,"This late release, aging for five years, has produced a majestic wine. Its breadth of flavor, with ripe fruits as well as intense structure, are gently transitioning from the first flush of youth to a more mature character. Intensely textured, tight, ready to spring, it shows the beauty of maturing Riesling. Drink now, although it will age many more years.",Altenberg de Bergheim Grand Cru Vieilles Vignes,93,61.0,Alsace,Alsace,,Riesling,Gustave Lorentz			
222,France,"Rounded, rich and full in the mouth, this offers swathes of flowery, aromatic fruit that is still young, still in its primary stage. With just a hint of steely texture, the wine does have structure and aging potential. For now, it is generous and delicious.",Heissenberg,93,48.0,Alsace,Alsace,,Riesling,Domaine Ostertag			
224,Italy,"Ripe and delicious, this starts off with aromas of fresh violet, rose, perfumed berry, exotic spice and tilled earth. It's still young but the palate already delivers a great depth of flavors including juicy black cherry, crushed raspberry, clove and black pepper alongside chewy tannins. Drink 2016 to 2021.",Pajorè,93,58.0,Piedmont,Barbaresco,,Nebbiolo,Sottimano			
225,France,"From one of the many recent exceptional years in Sauternes, this ripe, unctuous wine has balanced the rich honeyed fruit and the drier edge of botrytis. It's full in the mouth, with Seville orange and a light touch of ginger. Drink from 2019.",,93,120.0,Bordeaux,Sauternes,,Bordeaux-style White Blend,Château Raymond-Lafon			
229,Portugal,"Almost ready to drink, this wood-aged wine is packed with herbs, dark berry fruits and the first signs of secondary spice and leather flavors. The tannins are still powerful and need to soften further, so drink this complex, concentrated wine from 2016.",Quinta dos Quatro Ventos Reserva,93,41.0,Douro,,,Portuguese Red,Caves Aliança			
234,Italy,"Structured and energetic, this has a balsamic nose that offers aromas of menthol, mint, fennel, ripe berry, leather and a whiff of violet. The palate delivers crushed red cherry, black raspberry, baking spices and licorice alongside assertive tannins and fresh acidity. Drink 2017–2025.",,93,43.0,Piedmont,Barbaresco,,Nebbiolo,Punset			
